MAC;SSID;AuthMode;FirstSeen;Channel;Frequency;RSSI;CurrentLatitude;CurrentLongitude;AltitudeMeters;AccuracyMeters;RCOIs;MfgrId;Type
a8:5b:f7:2e:38:72;HES-GUEST;[ESS];2024-10-03 12:46:52;116;5580;-84;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
a8:5b:f7:28:dc:90;;[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS];2024-10-03 12:46:52;128;5640;-82;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
da:c4:6a:d1:b7:27;AndroidAP;[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS];2024-10-03 12:46:52;6;2437;-77;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
a8:5b:f7:28:dc:92;HES-GUEST;[ESS];2024-10-03 12:46:52;128;5640;-82;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
a8:5b:f7:28:dc:81;eduroam;[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS];2024-10-03 12:46:52;1;2412;-69;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
96:ca:bc:02:38:33;Talie Iphone 6;[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC];2024-10-03 12:46:52;44;5220;-91;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
a8:5b:f7:28:dc:91;eduroam;[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS];2024-10-03 12:46:52;128;5640;-82;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
a2:ad:61:48:d3:59;Redmi 9C;[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS];2024-10-03 12:46:52;6;2437;-80;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
a8:5b:f7:2e:38:70;;[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS];2024-10-03 12:46:52;116;5580;-84;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
f4:6a:dd:3a:72:93;ClickShare-1862528391;[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][MFPC];2024-10-03 12:46:52;36;5180;-90;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
a8:5b:f7:2e:38:71;eduroam;[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS];2024-10-03 12:46:52;116;5580;-84;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
a8:5b:f7:2b:d8:52;HES-GUEST;[ESS];2024-10-03 12:46:52;40;5200;-70;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
a8:5b:f7:2b:d8:41;eduroam;[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS];2024-10-03 12:46:52;11;2462;-59;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
a8:5b:f7:2b:d8:42;HES-GUEST;[ESS];2024-10-03 12:46:52;11;2462;-59;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
a8:5b:f7:28:dc:82;HES-GUEST;[ESS];2024-10-03 12:46:52;1;2412;-67;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
1a:94:7b:b8:65:a3;AndroidTam;[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS];2024-10-03 12:46:52;1;2412;-73;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
a8:5b:f7:2b:d8:51;eduroam;[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS];2024-10-03 12:46:52;40;5200;-71;46.20872229352953;6.119509708312217;480.1023807587243;128;;;WIFI
22802_42000_9076481;Sunrise Communications AG;"LTE;ch";2024-10-03 12:46:52;1850;1850;-113;46.20872229352953;6.119509708312217;480.1023807587243;128;;;GSM
22802_42000_9076481;Sunrise Communications AG;"LTE;ch";2024-10-03 12:46:52;1850;1850;-100;46.20872229352953;6.119509708312217;480.1023807587243;128;;;GSM
56:9a:47:48:d3:9e;;"Uncategorized;10";2024-10-03 12:47:01;;7936;-62;46.208780744578725;6.119520680399528;447.691081037046;96;;;BT
5b:be:74:13:08:4f;;"Uncategorized;10";2024-10-03 12:47:01;;7936;-85;46.208780744578725;6.119520680399528;447.691081037046;96;;;BT
67:20:eb:97:56:ca;;"Uncategorized;10";2024-10-03 12:47:01;;7936;-79;46.208780744578725;6.119520680399528;447.691081037046;96;;;BT
63:64:aa:c5:23:6b;;"Uncategorized;10";2024-10-03 12:47:01;;7936;-79;46.208780744578725;6.119520680399528;447.691081037046;96;;;BT
5d:12:60:bb:a1:c6;;"Uncategorized;10";2024-10-03 12:47:01;;7936;-55;46.208780744578725;6.119520680399528;447.691081037046;96;;;BT
61:22:ac:3a:5d:13;;"Uncategorized;10";2024-10-03 12:47:01;;7936;-78;46.208780744578725;6.119520680399528;447.691081037046;96;;;BT
7f:55:72:b6:c8:05;;"Uncategorized;10";2024-10-03 12:47:01;;7936;-85;46.208780744578725;6.119520680399528;447.691081037046;96;;;BT
40:9f:a8:d2:fe:d0;;"Uncategorized;10";2024-10-03 12:47:01;;7936;-88;46.208780744578725;6.119520680399528;447.691081037046;96;;;BT
62:a7:09:18:4e:be;;"Uncategorized;10";2024-10-03 12:47:01;;7936;-47;46.208780744578725;6.119520680399528;447.691081037046;96;;;BT
59:2c:56:3e:f6:00;;"Uncategorized;10";2024-10-03 12:47:01;;7936;-85;46.208780744578725;6.119520680399528;447.691081037046;96;;;BT
0b:dd:c7:dd:22:64;;"Uncategorized;10";2024-10-03 12:47:02;;7936;-72;46.20877789920528;6.119519692194173;447.6954378497317;96;;;BT
08:61:35:e4:09:ba;;"Uncategorized;10";2024-10-03 12:47:02;;7936;-84;46.20877789920528;6.119519692194173;447.6954378497317;96;;;BT
57:a5:a5:d8:51:00;;"Uncategorized;10";2024-10-03 12:47:02;;7936;-61;46.20877789920528;6.119519692194173;447.6954378497317;96;;;BT
5d:1d:86:dd:5b:4c;;"Uncategorized;10";2024-10-03 12:47:02;;7936;-74;46.20877789920528;6.119519692194173;447.6954378497317;96;;;BT
4f:55:96:9d:ed:b0;;"Uncategorized;10";2024-10-03 12:47:02;;7936;-82;46.20877789920528;6.119519692194173;447.6954378497317;96;;;BT
4f:24:ae:cf:9a:ba;;"Uncategorized;10";2024-10-03 12:47:02;;7936;-87;46.20877789920528;6.119519692194173;447.6954378497317;96;;;BT
52:02:f7:e3:71:de;;"Uncategorized;10";2024-10-03 12:47:02;;7936;-61;46.20877789920528;6.119519692194173;447.6954378497317;96;;;BT
62:5c:16:4e:6e:49;;"Uncategorized;10";2024-10-03 12:47:02;;7936;-64;46.20877789920528;6.119519692194173;447.6954378497317;96;;;BT
47:bb:c3:5e:6e:70;;"Uncategorized;10";2024-10-03 12:47:03;;7936;-66;46.20877581887226;6.119519010270442;448.93685455405466;300;;;BT
